,Name,Episodes,Release,Members,Score
1453,Natsuyuki Rendezvous,11,Jul 2012 - Sep 2012,82808,7.26
591,Overlord II,13,Jan 2018 - Apr 2018,1006111,7.76
3476,RWBY: Hyousetsu Teikoku,12,Jul 2022 - Sep 2022,104257,6.35
3778,Zhandou Wang Zhi Jufeng Zhan Hun 2,40,Oct 2013 - Feb 2014,675,6.17
121,Saiki Kusuo no Ψ-nan,120,Jul 2016 - Dec 2016,1083421,8.41
4046,Jungle Kurobee,31,Mar 1973 - Sep 1973,609,5.98
357,Kimi ni Todoke,25,Oct 2009 - Mar 2010,930950,8.01
2657,Ikkitousen: Xtreme Xecutor,12,Mar 2010 - Jun 2010,50502,6.72
1651,Fate/Apocrypha,25,Jul 2017 - Dec 2017,473286,7.19
2253,Endro~!,12,Jan 2019 - Mar 2019,75664,6.92
1148,Heisei Inu Monogatari Bow,40,Oct 1993 - Sep 1994,1393,7.41
125,Houseki no Kuni,12,Oct 2017 - Dec 2017,453349,8.39
339,Mairimashita! Iruma-kun 2nd Season,21,Apr 2021 - Sep 2021,310942,8.05
4522,Duel Masters VSRF,51,Apr 2016 - Mar 2017,1464,5.4
1133,Mitsuboshi Colors,12,Jan 2018 - Mar 2018,99351,7.41
3306,Arata Kangatari,12,Apr 2013 - Jul 2013,72320,6.43
2700,Kodomo no Jikan (TV),12,Oct 2007 - Dec 2007,111199,6.7
2009,Strike the Blood,24,Oct 2013 - Mar 2014,634715,7.03
1398,Macross Δ,26,Apr 2016 - Sep 2016,77011,7.28
1136,Salaryman Kintarou,20,Feb 2001 - Mar 2001,10198,7.41
1522,Maoyuu Maou Yuusha,12,Jan 2013 - Mar 2013,480672,7.24
4252,gdMen,12,Jan 2018 - Mar 2018,3070,5.81
1630,Yu☆Gi☆Oh! Duel Monsters GX,180,Oct 2004 - Mar 2008,215274,7.2
3139,Nande Koko ni Sensei ga!?,12,Apr 2019 - Jun 2019,347414,6.51
1112,Idoly Pride,12,Jan 2021 - Mar 2021,66178,7.42
1734,Hitsugi no Chaika: Avenging Battle,10,Oct 2014 - Dec 2014,204800,7.16
1407,Saber Marionette J to X,26,Oct 1998 - Mar 1999,14767,7.28
3442,Yurumates 3D Plus,13,Jul 2012 - Sep 2012,5184,6.37
1299,Honobono Log,10,Jun 2016 - Jun 2016,78370,7.33
4513,Zettai Zetsumei Dangerous Jiisan,33,Oct 2003 - Mar 2004,465,5.42
3807,Deji Meets Girl,12,Oct 2021 - Dec 2021,33109,6.15
2704,Sasami: Mahou Shoujo Club 2,13,Oct 2006 - Jan 2007,4588,6.7
2777,Papuwa,26,Sep 2003 - Mar 2004,1836,6.67
4484,Bloodivores,12,Oct 2016 - Dec 2016,108829,5.47
463,Macross F,25,Apr 2008 - Sep 2008,146164,7.89
3005,Gregory Horror Show,25,Oct 1999 - Jun 2001,4421,6.57
1358,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,12,Jan 2024 -,42646,7.3
3420,Shinkansen Henkei Robo Shinkalion Z the Animation,41,Apr 2021 - Mar 2022,1433,6.38
3747,Gakuen Basara,12,Oct 2018 - Dec 2018,18802,6.19
2514,Getter Robo,51,Apr 1974 - May 1975,8156,6.78
3806,Alice Tantei Kyoku,56,Apr 1995 - Jan 1997,503,6.15
334,Tsuki ga Kirei,12,Apr 2017 - Jun 2017,536636,8.05
17,Jujutsu Kaisen 2nd Season,23,Jul 2023 - Dec 2023,808081,8.88
755,Kyou kara Maou!,78,Apr 2004 - Feb 2006,113324,7.62
2029,Madlax,26,Apr 2004 - Sep 2004,41734,7.02
2600,Ai to Yuuki no Pig Girl Tonde Buurin,51,Sep 1994 - Aug 1995,10549,6.74
377,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,14,Oct 2019 - Dec 2019,301006,7.99
2380,Genji Monogatari Sennenki,11,Jan 2009 - Mar 2009,14614,6.85
3512,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,12,Jan 2021 - Mar 2021,277286,6.33
39,One Piece,,Oct 1999 -,2304564,8.71
899,Tensei shitara Ken deshita,12,Oct 2022 - Dec 2022,258058,7.54
2611,Houkago no Pleiades (TV),12,Apr 2015 - Jun 2015,36153,6.74
802,Konnichiwa Anne: Before Green Gables,39,Apr 2009 - Dec 2009,7587,7.6
4084,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,12,Oct 2022 - Dec 2022,125579,5.95
3023,Beyblade Burst Chouzetsu,51,Apr 2018 - Mar 2019,15230,6.56
3727,God Mazinger,23,Apr 1984 - Oct 1984,2729,6.21
3368,Fushigi no Kuni no Alice,24,Oct 1983 - Mar 1984,3499,6.41
174,Blue Lock,24,Oct 2022 - Mar 2023,640144,8.29
2684,Hyakka Ryouran: Samurai Bride,12,Apr 2013 - Jun 2013,99552,6.71
3746,Fuusen Shoujo Temple-chan,26,Oct 1977 - Mar 1978,687,6.19
524,Suzumiya Haruhi no Yuuutsu,14,Apr 2006 - Jul 2006,910387,7.83
2845,Nobunaga the Fool,24,Jan 2014 - Jun 2014,98809,6.64
3400,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,26,Apr 1995 - Sep 1995,1063,6.39
4671,JK Meshi!,26,Oct 2015 - Mar 2016,11748,4.6
3943,Manga Nippon Mukashibanashi,12,Jan 1975 - Mar 1975,840,6.05
3010,I★Chu: Halfway Through the Idol,12,Jan 2021 - Mar 2021,16492,6.57
4114,What's Michael? (TV),45,Apr 1988 - Mar 1989,986,5.92
2438,Smile Precure!,48,Feb 2012 - Jan 2013,43653,6.82
3271,Clockwork Planet,12,Apr 2017 - Jun 2017,157561,6.45
713,Mitsudomoe Zouryouchuu!,8,Jan 2011 - Feb 2011,45790,7.66
2527,Kogepan,10,Nov 2001 - Nov 2001,6430,6.77
1266,Glass no Kamen,23,Apr 1984 - Sep 1984,9218,7.35
4453,Rinshi!! Ekoda-chan,11,Jan 2019 - Mar 2019,11086,5.53
3500,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,12,Jan 2023 - Mar 2023,157079,6.33
402,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",25,Oct 2023 -,182324,7.96
4578,Hand Shakers,12,Jan 2017 - Mar 2017,105823,5.26
3113,Glass no Kantai: La Legende du Vent de l'Univers,24,Apr 2006 - Sep 2006,12194,6.52
1309,Sengoku Basara,12,Apr 2009 - Jun 2009,160658,7.33
1198,Scrapped Princess,24,Apr 2003 - Oct 2003,95344,7.38
3274,Juusen Battle Monsuno,52,Oct 2012 - Sep 2013,9107,6.45
1681,Pygmalio,39,Nov 1990 - Sep 1991,1833,7.18
1211,Yuuki Yuuna wa Yuusha de Aru,12,Oct 2014 - Dec 2014,153357,7.38
3832,Huoli Shaonian Wang 3: Xuji,26,2012 - 2012,344,6.14
4539,Listeners,12,Apr 2020 - Jun 2020,63201,5.38
4668,Yousei Land Mukashibanashi,12,Apr 2017 - Jun 2017,937,4.6
4117,MonHun Nikki Girigiri Airou Mura G,13,Jul 2011 - Sep 2011,750,5.92
737,Inuyashiki,11,Oct 2017 - Dec 2017,639473,7.64
2713,Saikyou Bushouden: Sangoku Engi,52,Apr 2010 - Mar 2011,2679,6.69
3511,Himesama Goyoujin,12,Apr 2006 - Jul 2006,2789,6.33
2786,Nagagutsu wo Haita Neko no Bouken,26,Apr 1992 - Sep 1992,975,6.66
2948,Kinkyuu Hasshin Saver Kids,50,Feb 1991 - Feb 1992,940,6.59
1629,Tatakau Shisho: The Book of Bantorra,27,Oct 2009 - Apr 2010,65305,7.2
1064,Puchi Pri*Yucie,26,Sep 2002 - Mar 2003,15273,7.45
1664,Youkai Apartment no Yuuga na Nichijou,26,Jul 2017 - Dec 2017,67731,7.18
4240,Yami Shibai 4,13,Jan 2017 - Mar 2017,29654,5.81
1170,Aldnoah.Zero,12,Jul 2014 - Sep 2014,510167,7.39
4073,Cardfight!! Vanguard: overDress,12,Apr 2021 - Jun 2021,14991,5.96
4591,Mofu☆Mofu,11,Aug 2008 - 2008,655,5.22
383,School Rumble Ni Gakki,26,Apr 2006 - Sep 2006,160989,7.98
3276,Tantei Kageki Milky Holmes TD,12,Jan 2015 - Mar 2015,9222,6.45
930,Mitsume ga Tooru,48,Oct 1990 - Sep 1991,1626,7.52
606,Saint Seiya,114,Oct 1986 - Apr 1989,186230,7.75
447,Ginga Sengoku Gunyuuden Rai,52,Apr 1994 - Mar 1995,15551,7.9
3777,Wizard Barristers: Benmashi Cecil,12,Jan 2014 - Mar 2014,57973,6.17
3958,Blade & Soul,13,Apr 2014 - Jun 2014,122013,6.04
635,Bishoujo Senshi Sailor Moon R,43,Mar 1993 - Mar 1994,157373,7.72
2023,Otome wa Boku ni Koishiteru,12,Oct 2006 - Dec 2006,63219,7.03
236,Nomad: Megalo Box 2,13,Apr 2021 - Jun 2021,197873,8.19
1539,Beelzebub-jou no Okinimesu mama.,12,Oct 2018 - Dec 2018,96024,7.23
1545,Giant Gorg,26,Apr 1984 - Sep 1984,6293,7.23
654,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,6,Oct 2017 - Nov 2017,44484,7.71
1376,Amagami SS,25,Jul 2010 - Dec 2010,377833,7.29
2186,Porphy no Nagai Tabi,52,Jan 2008 - Dec 2008,3242,6.95
4598,Hulaing Babies Aratame: Staying Babies,4,Jun 2020 - Jul 2020,874,5.17
4203,Penguin no Mondai,100,Apr 2008 - Mar 2009,858,5.84
2135,Delicious Party♡Precure,45,Feb 2022 - Jan 2023,9403,6.98
3990,Weiß Survive,16,Jun 2009 - Sep 2009,21166,6.03
948,Casshern Sins,24,Oct 2008 - Mar 2009,163994,7.51
3032,Beyblade Burst,51,Apr 2016 - Mar 2017,31516,6.55
4229,Futarigurashi,36,Apr 1998 - Jun 1998,2042,5.82
1012,Saenai Heroine no Sodatekata,12,Jan 2015 - Mar 2015,654164,7.48
593,Saenai Heroine no Sodatekata ♭,11,Apr 2017 - Jun 2017,363293,7.76
1458,Selection Project,13,Oct 2021 - Dec 2021,43609,7.26
1996,Chou Mashin Eiyuuden Wataru,51,Oct 1997 - Sep 1998,1977,7.04
3247,Cross Fight B-Daman eS,52,Oct 2012 - Sep 2013,3598,6.46
2246,Night Walker: Mayonaka no Tantei,12,Jul 1998 - Sep 1998,20968,6.92
976,Special A,24,Apr 2008 - Sep 2008,364267,7.5
1379,Gaikotsu Shotenin Honda-san,12,Oct 2018 - Dec 2018,116794,7.29
33,Cowboy Bebop,26,Apr 1998 - Apr 1999,1837204,8.75
906,Mutsu Enmei Ryuu Gaiden: Shura no Toki,26,Apr 2004 - Sep 2004,24412,7.54
881,Perrine Monogatari,53,Jan 1978 - Dec 1978,6274,7.55
957,Yawara!,124,Oct 1989 - Sep 1992,21528,7.51
623,Slayers,26,Apr 1995 - Sep 1995,141260,7.73
2969,Akihabara Dennou-gumi,26,Apr 1998 - Sep 1998,7873,6.58
4196,Uchuu Shounen Soran,96,May 1965 - Mar 1967,705,5.84
237,Senki Zesshou Symphogear XV,13,Jul 2019 - Sep 2019,38685,8.19
4698,Shouwang Zhengfeng Shen Jiang Zhi Nu,26,-,47,
3789,Ippatsu Kanta-kun,53,Sep 1977 - Sep 1978,880,6.17
3387,Lovely Movie: Itoshi no Muco,20,Jul 2013 - Dec 2013,1500,6.4
104,Chihayafuru 3,24,Oct 2019 - Mar 2020,138671,8.46
3353,Sister Princess,26,Apr 2001 - Sep 2001,24915,6.41
2467,Taimadou Gakuen 35 Shiken Shoutai,12,Oct 2015 - Dec 2015,309444,6.81
502,InuYasha,167,Oct 2000 - Sep 2004,788424,7.86
3000,Betterman,26,Apr 1999 - Oct 1999,15265,6.57
1173,Ao no Exorcist: Shimane Illuminati-hen,12,Jan 2024 -,93860,7.39
2363,Dog Days'',12,Jan 2015 - Mar 2015,73978,6.86
2356,Reikenzan: Eichi e no Shikaku,12,Jan 2017 - Mar 2017,44591,6.86
1405,Potemayo,12,Jul 2007 - Sep 2007,16895,7.28
3337,Sengoku Collection,26,Apr 2012 - Sep 2012,24744,6.42
2655,Hikari no Densetsu,19,May 1986 - Sep 1986,5663,6.72
2206,Uchi Tama?! Uchi no Tama Shirimasen ka?,11,Jan 2020 - Mar 2020,23616,6.94
2871,Tanken Driland,37,Jul 2012 - Mar 2013,6522,6.63
1163,Chobits,26,Apr 2002 - Sep 2002,479383,7.4
1456,Phi Brain: Kami no Puzzle - Orpheus Order-hen,25,Apr 2012 - Sep 2012,48330,7.26
607,Shaman King,64,Jul 2001 - Sep 2002,363316,7.75
3401,Akaneiro ni Somaru Saka,12,Oct 2008 - Dec 2008,151285,6.39
4662,FLCL: Grunge,3,Sep 2023 - Sep 2023,30955,4.69
3418,Zoids Fuzors,26,Oct 2004 - Apr 2005,11267,6.38
4094,Kimagure Robot,10,Dec 2004 - Dec 2004,2532,5.93
860,Pokemon (2019),136,Nov 2019 - Dec 2022,87083,7.56
3594,Hametsu no Oukoku,12,Oct 2023 - Dec 2023,156026,6.29
851,Nanatsu no Taizai: Imashime no Fukkatsu,24,Jan 2018 - Jun 2018,1111647,7.57
2725,Gene Diver,56,Apr 1994 - Jan 1995,867,6.69
146,Psycho-Pass,22,Oct 2012 - Mar 2013,1614866,8.34
2308,gdgd Fairies 2,12,Jan 2013 - Mar 2013,2747,6.89
3815,Yu☆Gi☆Oh! Sevens,92,Apr 2020 - Mar 2022,17417,6.15
4006,Itsumo Kokoro ni Taiyou wo!,16,Nov 1999 - Nov 1999,981,6.01
82,Yuru Camp△ Season 2,13,Jan 2021 - Apr 2021,217309,8.53
4156,Duel Masters Zero,24,Oct 2007 - Mar 2008,2032,5.88
3031,Africa no Salaryman (TV),12,Oct 2019 - Dec 2019,26494,6.55
720,Pandora Hearts,25,Apr 2009 - Sep 2009,429002,7.65
3623,Puraore! Pride of Orange,12,Oct 2021 - Dec 2021,26340,6.27
1085,Toshokan Sensou,12,Apr 2008 - Jun 2008,73981,7.43
805,Prison School,12,Jul 2015 - Sep 2015,1002224,7.6
675,Kidou Keisatsu Patlabor: On Television,47,Oct 1989 - Sep 1990,38446,7.68
3071,Tokyo ESP,12,Jul 2014 - Sep 2014,168700,6.54
1205,Juuni Senshi Bakuretsu Eto Ranger,39,Apr 1995 - Jan 1996,2374,7.38
2296,Koisuru Tenshi Angelique: Kagayaki no Ashita,12,Jan 2007 - Mar 2007,11036,6.89
8,Gintama': Enchousen,13,Oct 2012 - Mar 2013,320825,9.02
4147,Oreca Battle,51,Apr 2014 - Mar 2015,2589,5.89
2848,Sengoku Majin Goushougun,26,Jul 1981 - Dec 1981,3222,6.64
2830,Harukana Receive,12,Jul 2018 - Sep 2018,110184,6.65
2281,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,12,Jul 2020 - Sep 2020,25869,6.9
735,Digimon Tamers,51,Apr 2001 - Mar 2002,196852,7.64
2899,Ginyuu Mokushiroku Meine Liebe Wieder,13,Jan 2006 - Apr 2006,7633,6.62
1882,Sousei no Aquarion,26,Apr 2005 - Sep 2005,76770,7.09
3733,Youkai Ningen Bem,26,Oct 1968 - Mar 1969,2114,6.2
4276,Rebirth,48,Jan 2020 - Jun 2021,4389,5.78
1653,"Inari, Konkon, Koi Iroha.",10,Jan 2014 - Mar 2014,164233,7.19
3514,Umayon,12,Jul 2020 - Sep 2020,16667,6.33
3399,Reporter Blues,52,Oct 1991 - Nov 1991,1247,6.39
2484,Beatless Final Stage,4,Sep 2018 - Sep 2018,36799,6.79
4104,Flowering Heart 2,26,May 2017 - Nov 2017,1875,5.93
2084,Blue Seed,26,Oct 1994 - Mar 1995,30238,7.0
451,Jormungand: Perfect Order,12,Oct 2012 - Dec 2012,191063,7.9
71,Shouwa Genroku Rakugo Shinjuu,13,Jan 2016 - Apr 2016,288620,8.56
753,Maria-sama ga Miteru: Haru,13,Jul 2004 - Sep 2004,27811,7.63
1027,Jashin-chan Dropkick',11,Apr 2020 - Jun 2020,48260,7.47
2739,Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,9,Apr 2022 - May 2022,2049,6.68
2583,Shuumatsu no Izetta,12,Oct 2016 - Dec 2016,176675,6.75
3024,Cardfight!! Vanguard: Divinez,,Jan 2024 -,1578,6.56
418,Phantom: Requiem for the Phantom,26,Apr 2009 - Sep 2009,332555,7.94
3117,Inugami-san to Nekoyama-san,12,Apr 2014 - Jun 2014,78608,6.52
4568,180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,12,Oct 2021 - Dec 2021,36541,5.31
1558,Zero no Tsukaima,13,Jul 2006 - Sep 2006,811434,7.22
3015,Tenshi no Shippo Chu!,11,Mar 2003 - Apr 2003,5746,6.56
1128,Level E,13,Jan 2011 - Apr 2011,94415,7.41
3721,Beatless,20,Jan 2018 - Jun 2018,171621,6.21
1457,RideBack,12,Jan 2009 - Mar 2009,47777,7.26
295,Initial D Fifth Stage,14,Nov 2012 - May 2013,146980,8.1
1134,Rozen Maiden,12,Oct 2004 - Dec 2004,203684,7.41
495,Musekinin Kanchou Tylor,26,Jan 1993 - Jul 1993,49364,7.87
4529,Aguu: Tensai Ningyou,12,Jul 2018 - Sep 2018,7106,5.39
2154,Mahou Shoujo Ikusei Keikaku,12,Oct 2016 - Dec 2016,159423,6.96
4118,Seihou Tenshi Angel Links,13,Apr 1999 - Jun 1999,9542,5.92
3325,Pokemon Best Wishes! Season 2,24,Jun 2012 - Jan 2013,69152,6.43
3681,Uchuu Kaizoku Mito no Daibouken,13,Jan 1999 - Mar 1999,2959,6.24
4095,Mahou Shoujo Nante Mou Ii desu kara.,12,Jan 2016 - Mar 2016,26942,5.93
1281,Mahou no Tenshi Creamy Mami,52,Jul 1983 - Jun 1984,14801,7.34
1252,Nisekoi:,12,Apr 2015 - Jun 2015,689510,7.35
3040,Tsuyokiss,12,Jul 2006 - Sep 2006,19874,6.55
1397,Kurau Phantom Memory,24,Jun 2004 - Dec 2004,31183,7.28
2940,Sounan desu ka?,12,Jul 2019 - Sep 2019,157294,6.6
113,Kage no Jitsuryokusha ni Naritakute! 2nd Season,12,Oct 2023 - Dec 2023,306613,8.43
2535,Dr. Rin ni Kiitemite!,51,Mar 2001 - Feb 2002,4716,6.77
4551,Business Fish,6,Jul 2019 - Aug 2019,3787,5.36
1770,Kenran Butou Sai: The Mars Daybreak,26,Apr 2004 - Sep 2004,21722,7.14
1334,Wagamama☆Fairy Mirumo de Pon!,172,Apr 2002 - Sep 2005,19662,7.31
1350,Bamboo Blade,26,Oct 2007 - Apr 2008,88220,7.3
4286,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,13,Oct 2004 - Dec 2004,6294,5.77
970,Love Live! Nijigasaki Gakuen School Idol Doukoukai,13,Oct 2020 - Dec 2020,76657,7.5
1114,Shugo Chara!! Doki,51,Oct 2008 - Sep 2009,103008,7.42
4001,Obocchama-kun,164,Jan 1989 - Sep 1992,865,6.02
3989,Watanuki-san Chi to,12,Apr 2020 - Jun 2020,1619,6.03
300,Uchouten Kazoku 2,12,Apr 2017 - Jun 2017,64045,8.09
3331,Mission-E,12,Jul 2008 - Sep 2008,5962,6.42
3624,Saint Seiya Omega,97,Apr 2012 - Mar 2014,49006,6.27
3782,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,26,Jan 1980 - Jul 1980,1223,6.17
2623,Temple,12,Jul 2023 - Sep 2023,83589,6.73
878,Minami-ke Okaeri,13,Jan 2009 - Mar 2009,66827,7.55
2099,Kikou Senki Dragonar,48,Feb 1987 - Jan 1988,5895,7.0
971,Sengoku Basara Ni,12,Jul 2010 - Sep 2010,69760,7.5
4555,Saiko Robot Kombock,26,Aug 2001 - Apr 2004,4855,5.35
3104,Idol Tenshi Youkoso Youko,43,Apr 1990 - Feb 1991,1805,6.53
,Name,Episodes,Release,Members,Score
4342,RErideD: Tokigoe no Derrida,12,Sep 2018 - Nov 2018,39798,5.69
3731,Totsugeki! Pappara-tai,25,Oct 1998 - Mar 1999,1052,6.2
239,Asobi Asobase,12,Jul 2018 - Sep 2018,471480,8.19
3919,Eiyuu Kyoushitsu,12,Jul 2023 - Sep 2023,102048,6.07
2304,Shinigami no Ballad.,6,Mar 2006 - Apr 2006,46536,6.89
4618,Chou Zenmairobo: Patrasche,13,Dec 2013 - Mar 2014,588,5.1
2671,Muhyo to Rouji no Mahouritsu Soudan Jimusho,12,Aug 2018 - Oct 2018,52387,6.71
2264,Hoshi no Kirby,100,Oct 2001 - Sep 2003,33186,6.91
1051,Jewelpet Twinkle☆,52,Apr 2010 - Apr 2011,12263,7.45
2375,Binbou Shimai Monogatari,10,Jun 2006 - Sep 2006,21666,6.85
1289,Gamba no Bouken,26,Apr 1975 - Sep 1975,4411,7.34
1783,Deadman Wonderland,12,Apr 2011 - Jul 2011,1226991,7.14
2523,Spoon Obasan,130,Apr 1983 - Mar 1984,2268,6.77
3317,Toushi Gordian,73,Oct 1979 - Feb 1981,1196,6.43
1389,Shounen Maid,12,Apr 2016 - Jul 2016,84250,7.28
3217,Shin Kyojin no Hoshi II,23,Apr 1979 - Sep 1979,738,6.48
1333,Uma Musume: Pretty Derby,13,Apr 2018 - Jun 2018,138376,7.31
3800,Kanashiki Debu Neko-chan,10,Dec 2021 - Dec 2021,3192,6.16
1512,Hyakko,13,Oct 2008 - Dec 2008,44790,7.24
109,Zoku Owarimonogatari,6,May 2019 - Jun 2019,222619,8.44
618,Golden Time,24,Oct 2013 - Mar 2014,1025990,7.74
839,Candy Candy,115,Oct 1976 - Feb 1979,30826,7.57
1845,Amanchu! Advance,12,Apr 2018 - Jun 2018,32005,7.11
1532,Kuma Kuma Kuma Bear,12,Oct 2020 - Dec 2020,158805,7.23
2372,3D Kanojo: Real Girl,12,Apr 2018 - Jun 2018,336247,6.85
4069,Regalia: The Three Sacred Stars,13,Jul 2016 - Nov 2016,29383,5.96
4437,Kotowaza House,773,Apr 1987 - Sep 1994,609,5.55
2964,Fabre-sensei wa Meitantei,26,Apr 2000 - Oct 2000,968,6.59
3909,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,12,Jan 2011 - Mar 2011,90324,6.08
3318,Kenka Banchou Otome: Girl Beats Boys,12,Apr 2017 - Jun 2017,82179,6.43
1595,Uragiri wa Boku no Namae wo Shitteiru,24,Apr 2010 - Sep 2010,99870,7.21
4346,Idol Jihen,12,Jan 2017 - Mar 2017,14375,5.69
1296,Ginga Kikoutai Majestic Prince,24,Apr 2013 - Sep 2013,55225,7.33
3706,Hidan no Aria AA,12,Oct 2015 - Dec 2015,101452,6.22
3196,F-Zero: Falcon Densetsu,51,Oct 2003 - Sep 2004,9454,6.49
3915,Dive!!,12,Jul 2017 - Sep 2017,51872,6.08
4643,Ame-iro Cocoa: Side G,12,Jan 2019 - Mar 2019,9388,4.85
820,Star☆Twinkle Precure,49,Feb 2019 - Jan 2020,11658,7.58
1694,Anyamal Tantei Kiruminzoo,50,Oct 2009 - Sep 2010,8604,7.17
2911,Transformers: Choujin Master Force,43,Apr 1988 - Mar 1989,3485,6.61
1395,Kannagi,13,Oct 2008 - Dec 2008,168567,7.28
2691,Hiiro no Kakera,13,Apr 2012 - Jun 2012,112037,6.7
2873,Wakako-zake,12,Jul 2015 - Sep 2015,40853,6.63
3696,Boukensha: The Man Was from Spain,26,Nov 1992 - Mar 1993,1360,6.23
3911,Alice SOS,28,Apr 1998 - Jan 1999,2067,6.08
962,One Punch Man 2nd Season,12,Apr 2019 - Jul 2019,1660840,7.51
3997,Kakutou Ryouri Densetsu Bistro Recipe,26,Dec 2001 - Jun 2002,5104,6.02
2978,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),26,Apr 1999 - Sep 1999,5654,6.58
3365,Cutie Honey,25,Oct 1973 - Mar 1974,16797,6.41
3929,Lan Mao,3057,Oct 1999 - Aug 2001,849,6.06
4358,A-jang.com,13,Nov 2001 - Dec 2001,801,5.67
2110,Area 88 (TV),12,Jan 2004 - Mar 2004,14411,6.99
2124,Kami-tachi ni Hirowareta Otoko,12,Oct 2020 - Dec 2020,208418,6.98
1890,Kikou Souseiki Mospeada,25,Oct 1983 - Mar 1984,9388,7.09
983,Konohana Kitan,12,Oct 2017 - Dec 2017,153384,7.49
783,Chrno Crusade,24,Nov 2003 - Jun 2004,225320,7.61
619,Hataraku Maou-sama!,13,Apr 2013 - Jun 2013,1547761,7.74
2106,SF Saiyuuki Starzinger,73,Apr 1978 - Aug 1979,2821,7.0
3639,Tondera House no Daibouken,52,Apr 1982 - Mar 1983,1636,6.26
4007,Souten no Ken: Regenesis 2nd Season,12,Oct 2018 - Dec 2018,4854,6.01
3629,Cybot Robocchi,39,Oct 1982 - Jun 1983,660,6.27
497,Magic Kaito 1412,24,Oct 2014 - Mar 2015,123684,7.86
3373,Boys Be...,13,Apr 2000 - Jul 2000,23481,6.4
2468,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,12,Oct 2013 - Dec 2013,304005,6.81
105,Bungou Stray Dogs 4th Season,13,Jan 2023 - Mar 2023,272458,8.45
4399,Chiruran: Nibun no Ichi,12,Jan 2017 - Mar 2017,7780,5.62
4200,Majutsushi Orphen Hagure Tabi,13,Jan 2020 - Mar 2020,70367,5.84
2918,Seton Doubutsuki,45,Oct 1989 - Dec 1990,809,6.61
3831,Hello Kitty: Ringo no Mori to Parallel Town,27,Oct 2007 - Mar 2008,826,6.14
371,Kami nomi zo Shiru Sekai: Megami-hen,12,Jul 2013 - Sep 2013,343547,8.0
2566,Kousoku Denjin Albegus,45,Mar 1983 - Feb 1984,2024,6.75
4161,Suzy's Zoo: Daisuki! Witzy,25,Apr 2011 - Oct 2011,731,5.88
538,Dark Gathering,25,Jul 2023 - Dec 2023,118465,7.82
1089,Marmalade Boy,76,Mar 1994 - Sep 1995,55463,7.43
951,Densetsu no Yuusha no Densetsu,24,Jul 2010 - Dec 2010,299303,7.51
3608,Taichi Senjimon,39,Apr 2007 - Jan 2008,1738,6.28
1560,Kyojin no Hoshi,182,Mar 1968 - Sep 1971,2921,7.22
3102,Cinderella Girls Gekijou 3rd Season,13,Jul 2018 - Sep 2018,6897,6.53
1433,Top Secret: The Revelation,26,Apr 2008 - Oct 2008,19483,7.27
4604,Chou Shounen Tanteidan Neo,13,Jan 2017 - Mar 2017,2675,5.15
3547,Shoujo-tachi wa Kouya wo Mezasu,12,Jan 2016 - Mar 2016,118461,6.31
1931,Shadow Skill: Eigi,26,Jul 1998 - Dec 1998,14672,7.07
2733,Tonagura!,13,Jul 2006 - Oct 2006,49201,6.69
3134,Sengoku Musou,12,Jan 2015 - Mar 2015,22958,6.52
50,Hajime no Ippo: New Challenger,26,Jan 2009 - Jul 2009,281206,8.67
4210,G-On Riders,13,Jul 2002 - Oct 2002,5008,5.83
3375,Chou Dendou Robo Tetsujin 28-gou FX,47,Apr 1992 - Mar 1993,1327,6.4
1914,Yoroiden Samurai Troopers,39,Apr 1988 - Mar 1989,18722,7.08
793,Full Metal Panic!,24,Jan 2002 - Jun 2002,493012,7.6
3146,Rokumon Tengai Mon Colle Knights,51,Jan 2000 - Dec 2000,5174,6.51
2519,Innocent Venus,12,Jul 2006 - Oct 2006,26906,6.78
2270,Lost Song,12,Apr 2018 - Jun 2018,47922,6.91
91,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39,Apr 2016 - Dec 2016,1103678,8.5
1467,Soukyuu no Fafner: Dead Aggressor,25,Jul 2004 - Dec 2004,48230,7.26
12,Gintama,201,Apr 2006 - Mar 2010,1052917,8.94
4589,Kowabon,13,Oct 2015 - Dec 2015,34195,5.22
723,Fairy Tail (2014),102,Apr 2014 - Mar 2016,983214,7.65
