,Name,Episodes,Release,Members,Score
3347,Ginyuu Mokushiroku Meine Liebe,13,Nov 2004 - Feb 2005,13068,6.42
2524,Synduality: Noir,12,Jul 2023 - Sep 2023,35706,6.77
1887,Waccha PriMagi!,51,Oct 2021 - Oct 2022,5366,7.09
430,Overlord III,13,Jul 2018 - Oct 2018,891537,7.92
2446,Kimi no Iru Machi,12,Jul 2013 - Sep 2013,150848,6.82
2894,Cinderella Girls Gekijou 2nd Season,13,Oct 2017 - Dec 2017,9312,6.62
4327,Kkoma Bus Tayo,26,Aug 2010 - Nov 2010,472,5.7
2485,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,13,Sep 2023 - Dec 2023,67692,6.79
4178,Ishida to Asakura,12,Jan 2013 - Mar 2013,14283,5.86
3414,Transformers: The☆Headmasters,35,Jul 1987 - Mar 1988,4340,6.39
605,Mairimashita! Iruma-kun,23,Oct 2019 - Mar 2020,477208,7.75
4305,World Fool News (TV) Part II,12,Apr 2017 - Jun 2017,1186,5.74
1116,Tenchi Muyou!,26,Apr 1995 - Sep 1995,79522,7.42
834,Black Jack (TV),61,Oct 2004 - Mar 2006,35735,7.58
4283,Guraburu!,12,Oct 2020 - Dec 2020,14223,5.77
1771,Kenyuu Densetsu Yaiba,52,Apr 1993 - Apr 1994,9125,7.14
1936,Dual! Parallel Lun-Lun Monogatari,13,Apr 1999 - Jul 1999,18538,7.07
3560,Ookamikakushi,12,Jan 2010 - Mar 2010,73122,6.3
2545,Deatte 5-byou de Battle,12,Jul 2021 - Sep 2021,196330,6.76
4144,Himegoto,13,Jul 2014 - Sep 2014,123366,5.89
2456,Recorder to Randoseru Re♪,13,Apr 2012 - Jun 2012,29996,6.81
212,Major S3,26,Jan 2007 - Jun 2007,68715,8.22
3230,Time Bokan Series: Time Patroltai Otasukeman,53,Feb 1980 - Jan 1981,1280,6.47
3739,Akuu Daisakusen Srungle,53,Jan 1983 - Jan 1984,1695,6.2
481,Ookiku Furikabutte,25,Apr 2007 - Sep 2007,99926,7.88
3610,Warau Salesman New,12,Apr 2017 - Jun 2017,18788,6.28
4523,Firestorm,26,Apr 2003 - Sep 2003,1560,5.4
4438,Nar Doma,26,May 2015 - Nov 2015,2710,5.55
3781,Larva 3rd Season,104,Aug 2014 - Dec 2015,1031,6.17
1521,Layton Mystery Tanteisha: Katri no Nazotoki File,50,Apr 2018 - Mar 2019,17034,7.24
1351,Busou Renkin,26,Oct 2006 - Mar 2007,171662,7.3
2166,Binchou-tan,12,Feb 2006 - Apr 2006,11879,6.96
137,Haikyuu!! To the Top,13,Jan 2020 - Apr 2020,917599,8.36
4477,Garo: Honoo no Kokuin - Yurugaro,23,Oct 2014 - Feb 2015,1906,5.49
176,Mushoku Tensei II: Isekai Ittara Honki Dasu,12,Jul 2023 - Sep 2023,493221,8.29
3881,Transformers Superlink,51,Jan 2004 - Dec 2004,5816,6.1
3643,Ketsuekigata-kun! 3,12,Oct 2015 - Dec 2015,3742,6.26
1108,Genji Tsuushin Agedama,51,Oct 1991 - Sep 1992,1863,7.42
3858,Akikan!,12,Jan 2009 - Mar 2009,123386,6.12
4243,Marginal Prince: Gekkeiju no Ouji-tachi,13,Oct 2006 - Dec 2006,14361,5.81
2668,Kono Minikuku mo Utsukushii Sekai,12,Apr 2004 - Jun 2004,60704,6.71
2589,Kaminaki Sekai no Kamisama Katsudou,12,Apr 2023 - Jul 2023,167509,6.74
1013,Sarazanmai,11,Apr 2019 - Jun 2019,131629,7.48
2403,Zetman,13,Apr 2012 - Jun 2012,135409,6.84
1022,Another,12,Jan 2012 - Mar 2012,1648551,7.47
296,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,24,Apr 2014 - Sep 2014,1197228,8.1
932,Over Drive,26,Apr 2007 - Sep 2007,44378,7.52
1269,The iDOLM@STER Cinderella Girls 2nd Season,12,Jul 2015 - Oct 2015,36470,7.35
3966,Yami Shibai 12,,Jan 2024 -,3239,6.04
4692,Shoguo Xiao Zhen,52,-,45,
4154,Asobou! Hello Kitty,26,Apr 1994 - Sep 1994,1585,5.88
1700,Hakozume: Kouban Joshi no Gyakushuu,13,Jan 2022 - Mar 2022,52350,7.17
4472,Mayoiga,12,Apr 2016 - Jun 2016,216077,5.49
3866,Stitch! Itazura Alien no Daibouken,29,Oct 2009 - Jun 2010,2575,6.12
2721,Cardfight!! Vanguard: overDress Season 2,13,Oct 2021 - Dec 2021,7325,6.69
219,SKET Dance,77,Apr 2011 - Sep 2012,223578,8.21
4510,Sparrow's Hotel,12,Apr 2013 - Jun 2013,10306,5.43
1557,Young Black Jack,12,Oct 2015 - Dec 2015,83583,7.22
1639,Kiratto Pri☆chan Season 3,51,Apr 2020 - May 2021,2398,7.19
2305,Shinkon Gattai Godannar!! 2nd Season,13,Apr 2004 - Jun 2004,8769,6.89
2720,Cardfight!! Vanguard G: Stride Gate-hen,24,Apr 2016 - Sep 2016,9870,6.69
4570,Doamaiger D,13,Jan 2015 - Mar 2015,2114,5.3
3939,Shounen Hollywood: Holly Stage for 49,13,Jul 2014 - Sep 2014,15589,6.05
4268,Tamayomi,12,Apr 2020 - Jun 2020,32648,5.79
4027,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,13,Jul 1999 - Oct 1999,1615,5.99
3480,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,12,Apr 2023 - Jun 2023,93475,6.35
1553,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,12,Jan 2023 - Mar 2023,85173,7.22
1171,Amagami SS+ Plus,13,Jan 2012 - Mar 2012,168094,7.39
1473,Kakumeiki Valvrave 2nd Season,12,Oct 2013 - Dec 2013,93163,7.25
2245,Mashin Eiyuuden Wataru 2,46,Mar 1990 - Mar 1991,1446,6.92
425,Kono Oto Tomare!,13,Apr 2019 - Jun 2019,300011,7.93
4680,KochinPa!,12,Dec 2015 - May 2016,2373,4.08
1619,Ginga e Kickoff!!,39,Mar 2012 - Feb 2013,26886,7.2
2501,Monster Farm: Enbanseki no Himitsu,48,Apr 1999 - Mar 2000,44532,6.79
832,Shinigami Bocchan to Kuro Maid 2nd Season,12,Jul 2023 - Sep 2023,73219,7.58
1723,Boogiepop wa Warawanai,12,Jan 2000 - Mar 2000,134172,7.16
722,Aikatsu Stars!,100,Apr 2016 - Mar 2018,19877,7.65
574,Kekkai Sensen & Beyond,12,Oct 2017 - Dec 2017,432759,7.78
1528,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,12,Jan 2024 -,39905,7.24
2092,Tottoko Hamtarou,296,Jul 2000 - Mar 2006,59425,7.0
457,Kidou Senshi Zeta Gundam,50,Mar 1985 - Feb 1986,74164,7.9
2065,Sword Art Online Alternative: Gun Gale Online,12,Apr 2018 - Jul 2018,613530,7.01
4639,Senjuushi,12,Jul 2018 - Sep 2018,13760,4.89
3845,Queen's Blade: Rurou no Senshi,12,Apr 2009 - Jun 2009,99745,6.13
4279,Gaist Crusher,51,Oct 2013 - Oct 2014,2543,5.78
3151,Choujikuu Seiki Orguss,35,Jul 1983 - Apr 1984,6503,6.51
3061,Muumin (1972),52,Jan 1972 - Dec 1972,2712,6.54
3055,Ramen Daisuki Koizumi-san,12,Jan 2018 - Mar 2018,63670,6.55
4100,Assassins Pride,12,Oct 2019 - Dec 2019,339625,5.93
2842,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,13,Aug 2004 - Oct 2004,4782,6.64
3275,Skate-Leading☆Stars,12,Jan 2021 - Mar 2021,41077,6.45
808,Kekkaishi,52,Oct 2006 - Feb 2008,109926,7.59
3164,Shuukan Storyland,56,Oct 1999 - Sep 2001,805,6.51
3792,D4 Princess,24,Apr 1999 - Sep 1999,3376,6.16
1039,Amagi Brilliant Park,13,Oct 2014 - Dec 2014,650481,7.46
3441,Uchuu Senkan Tiramisù,13,Apr 2018 - Jun 2018,28124,6.37
1368,Lupin III: Part III,50,Mar 1984 - Dec 1985,22156,7.29
1982,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,12,Jan 2023 - Mar 2023,134375,7.04
4041,Heisei Tensai Bakabon,46,Jan 1990 - Dec 1990,844,5.98
2867,Fireball,13,Apr 2008 - Jun 2008,10368,6.63
2381,Hatsumei Boy Kanipan,31,Jul 1998 - Jan 1999,1096,6.85
2773,Manaria Friends,10,Jan 2019 - Mar 2019,122742,6.67
1419,Gatchaman Crowds,12,Jul 2013 - Sep 2013,183045,7.28
995,Heppoko Jikken Animation Excel♥Saga,26,Oct 1999 - Mar 2000,109039,7.49
4525,Happy Kappy,25,Apr 2011 - Oct 2011,1418,5.4
4184,Shin Obake no Q-tarou,70,Sep 1971 - Dec 1972,576,5.85
3263,Little Lulu to Chicchai Nakama,26,Oct 1976 - Apr 1977,1035,6.45
480,Megalo Box,13,Apr 2018 - Jun 2018,503332,7.88
2188,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",13,Oct 2021 - Dec 2021,309106,6.95
508,Beelzebub,60,Jan 2011 - Mar 2012,591218,7.85
1043,Hanbun no Tsuki ga Noboru Sora,6,Jan 2006 - Feb 2006,100439,7.46
2576,Re-Kan!,13,Apr 2015 - Jun 2015,60274,6.75
1924,Kirarin☆Revolution,153,Apr 2006 - Mar 2009,32107,7.07
1579,Grancrest Senki,24,Jan 2018 - Jun 2018,305797,7.22
2050,Jungle Book Shounen Mowgli,52,Oct 1989 - Oct 1990,7410,7.02
