Unnamed: 0,Name,Episodes,Release,Members,Score
3955,Jantama Pong☆,11.0,Apr 2022 - Jun 2022,7672,6.05
196,Planetes,26.0,Oct 2003 - Apr 2004,251138,8.26
4398,Chaos Dragon: Sekiryuu Seneki,12.0,Jul 2015 - Sep 2015,109439,5.62
1100,Genshiken Nidaime,13.0,Jul 2013 - Sep 2013,53018,7.43
1082,To LOVE-Ru Darkness 2nd,12.0,Jul 2015 - Sep 2015,257724,7.44
4341,Lemon Angel (1988/II),8.0,Jul 1988 - Sep 1988,1687,5.69
3696,Boukensha: The Man Was from Spain,26.0,Nov 1992 - Mar 1993,1360,6.23
2804,Hataraku Maou-sama!! 2nd Season,12.0,Jul 2023 - Sep 2023,122115,6.66
3713,Obake no Q-tarou (1985),510.0,Apr 1985 - Mar 1987,719,6.22
1183,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,12.0,Oct 2021 - Dec 2021,23839,7.39
2568,Mahou Shoujo Lyrical Nanoha ViVid,12.0,Apr 2015 - Jun 2015,26208,6.75
1215,Kiznaiver,12.0,Apr 2016 - Jun 2016,735235,7.37
2269,Koroshi Ai,12.0,Jan 2022 - Mar 2022,163531,6.91
3905,Yumeria,12.0,Jan 2004 - Mar 2004,27979,6.08
3747,Gakuen Basara,12.0,Oct 2018 - Dec 2018,18802,6.19
3221,Cardfight!! Vanguard Gaiden: If,25.0,May 2020 - Nov 2020,3967,6.48
2461,Chou Robot Seimeitai Transformers Micron Densetsu,52.0,Jan 2003 - Dec 2003,9903,6.81
4196,Uchuu Shounen Soran,96.0,May 1965 - Mar 1967,705,5.84
793,Full Metal Panic!,24.0,Jan 2002 - Jun 2002,493012,7.6
1019,Shinryaku!? Ika Musume,12.0,Sep 2011 - Dec 2011,98234,7.47
3638,The iDOLM@STER SideM: Wake Atte Mini!,12.0,Oct 2018 - Dec 2018,3820,6.26
2942,Teekyuu 8,12.0,Oct 2016 - Dec 2016,15098,6.6
2742,Nishi no Yoki Majo: Astraea Testament,13.0,Apr 2006 - Jul 2006,19314,6.68
3291,Pet,13.0,Jan 2020 - Mar 2020,93333,6.44
3153,Fate/Extra: Last Encore - Illustrias Tendousetsu,3.0,Jul 2018 - Jul 2018,73983,6.51
3673,Ocha-ken: Chokotto Monogatari,26.0,Oct 2003 - Apr 2004,1328,6.24
2579,Doujin Work,12.0,Jul 2007 - Sep 2007,28110,6.75
1438,Koutetsujou no Kabaneri,12.0,Apr 2016 - Jul 2016,805046,7.27
3306,Arata Kangatari,12.0,Apr 2013 - Jul 2013,72320,6.43
305,Gin no Saji,11.0,Jul 2013 - Sep 2013,291172,8.09
